Date,AMZN,GOOGL,AAPL,NFLX,MSFT
,AMZN,GOOGL,AAPL,NFLX,MSFT
2014-01-02,19.898500442504883,27.85585594177246,19.754642486572266,51.83142852783203,37.15999984741211
2014-01-03,19.82200050354004,27.652652740478516,19.320714950561523,51.871429443359375,36.90999984741211
2014-01-06,19.681499481201172,27.960960388183594,19.426071166992188,51.36714172363281,36.130001068115234
2014-01-07,19.901500701904297,28.5,19.28714370727539,48.5,36.40999984741211
2014-01-08,20.09600067138672,28.559309005737305,19.409286499023438,48.71285629272461,35.7599983215332
2014-01-09,20.050500869750977,28.284284591674805,19.161428451538086,48.150001525878906,35.529998779296875
2014-01-10,19.882999420166016,28.28278350830078,19.033571243286133,47.448570251464844,36.040000915527344
2014-01-13,19.548999786376953,28.102603912353516,19.133214950561523,48.11571502685547,34.97999954223633
2014-01-14,19.87700080871582,28.763763427734375,19.51392936706543,48.279998779296875,35.779998779296875
2014-01-15,19.793500900268555,28.744243621826172,19.90571403503418,47.1971435546875,36.7599983215332
2014-01-16,19.790000915527344,28.93443489074707,19.79464340209961,47.38285827636719,36.88999938964844
2014-01-17,19.980499267578125,28.792041778564453,19.309642791748047,47.1485710144043,36.380001068115234
2014-01-21,20.352500915527344,29.12162208557129,19.609643936157227,46.95857238769531,36.16999816894531
2014-01-22,20.226999282836914,29.15465545654297,19.696786880493164,47.67571258544922,35.93000030517578
2014-01-23,19.993499755859375,29.031532287597656,19.863571166992188,55.531429290771484,36.060001373291016
2014-01-24,19.3799991607666,28.12387466430664,19.502500534057617,55.1542854309082,36.810001373291016
2014-01-27,19.31399917602539,27.558307647705078,19.66071319580078,54.461429595947266,36.029998779296875
2014-01-28,19.721500396728516,28.10335350036621,18.08928680419922,58.11000061035156,36.27000045776367
2014-01-29,19.209999084472656,27.700700759887695,17.883928298950195,57.202857971191406,36.65999984741211
2014-01-30,20.15049934387207,28.413162231445312,17.849285125732422,57.810001373291016,36.86000061035156
2014-01-31,17.934499740600586,29.553804397583008,17.878570556640625,58.47571563720703,37.84000015258789
2014-02-03,17.3075008392334,28.36411476135254,17.911785125732422,57.76856994628906,36.47999954223633
2014-02-04,17.397499084472656,28.48248291015625,18.171070098876953,57.987144470214844,36.349998474121094
2014-02-05,17.322500228881836,28.60860824584961,18.306785583496094,57.77428436279297,35.81999969482422
2014-02-06,17.72949981689453,29.02802848815918,18.30392837524414,58.272857666015625,36.18000030517578
2014-02-07,18.054000854492188,29.465465545654297,18.559999465942383,61.42571258544922,36.560001373291016
2014-02-10,18.043500900268555,29.352603912353516,18.892499923706055,61.49142837524414,36.79999923706055
2014-02-11,18.089500427246094,29.784284591674805,19.141429901123047,61.99856948852539,37.16999816894531
2014-02-12,17.462499618530273,29.69694709777832,19.139999389648438,61.27571487426758,37.470001220703125
2014-02-13,17.860000610351562,30.027528762817383,19.44392967224121,62.36428451538086,37.61000061035156
2014-02-14,17.86750030517578,30.100099563598633,19.428213119506836,62.21571350097656,37.619998931884766
2014-02-18,17.6825008392334,30.30230140686035,19.499643325805664,62.407142639160156,37.41999816894531
2014-02-19,17.368999481201172,30.08858871459961,19.19178581237793,61.17571258544922,37.5099983215332
2014-02-20,17.489999771118164,30.132883071899414,18.969642639160156,62.13571548461914,37.75
2014-02-21,17.33799934387207,30.124874114990234,18.758928298950195,61.74714279174805,37.97999954223633
2014-02-24,17.589000701904297,30.343093872070312,18.8410701751709,63.85714340209961,37.689998626708984
2014-02-25,17.916000366210938,30.53053092956543,18.645000457763672,64.71857452392578,37.540000915527344
2014-02-26,17.989999771118164,30.5347843170166,18.47678565979004,64.11285400390625,37.470001220703125
2014-02-27,18.006500244140625,30.510761260986328,18.84535789489746,64.60428619384766,37.86000061035156
2014-02-28,18.104999542236328,30.421672821044922,18.794286727905273,63.66143035888672,38.310001373291016
2014-03-03,17.98900032043457,30.097347259521484,18.84857177734375,63.65571212768555,37.779998779296875
2014-03-04,18.19499969482422,30.403152465820312,18.972856521606445,64.99714660644531,38.40999984741211
2014-03-05,18.618499755859375,30.48698616027832,19.01285743713379,64.78571319580078,38.11000061035156
2014-03-06,18.607999801635742,30.520771026611328,18.95535659790039,64.35857391357422,38.150001525878906
2014-03-07,18.60300064086914,30.400150299072266,18.944286346435547,64.0528564453125,37.900001525878906
2014-03-10,18.526500701904297,30.319570541381836,18.961429595947266,62.849998474121094,37.81999969482422
2014-03-11,18.44099998474121,30.0297794342041,19.14607048034668,62.49714279174805,38.02000045776367
2014-03-12,18.531999588012695,30.21271324157715,19.164642333984375,62.36857223510742,38.27000045776367
2014-03-13,18.57550048828125,29.756256103515625,18.951786041259766,61.43714141845703,37.88999938964844
2014-03-14,18.687000274658203,29.349348068237305,18.738929748535156,60.64142990112305,37.70000076293945
2014-03-17,18.75200080871582,29.832332611083984,18.812143325805664,60.388572692871094,38.04999923706055
2014-03-18,18.938499450683594,30.311811447143555,18.97857093811035,60.03571319580078,39.54999923706055
2014-03-19,18.661500930786133,30.011260986328125,18.97357177734375,60.012855529785156,39.27000045776367
2014-03-20,18.44849967956543,29.958959579467773,18.882143020629883,60.61000061035156,40.33000183105469
2014-03-21,18.0310001373291,29.605606079101562,19.031070709228516,57.99856948852539,40.15999984741211
2014-03-24,17.592500686645508,28.97722625732422,19.256786346435547,54.128570556640625,40.5
2014-03-25,17.73550033569336,28.996997833251953,19.46392822265625,52.977142333984375,40.34000015258789
2014-03-26,17.170499801635742,28.327577590942383,19.277856826782227,53.182857513427734,39.790000915527344
